Precompiling Pkg...
    936.0 ms  ✓ MozillaCACerts_jll
   5219.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1613.6 ms  ✓ Polyester
   1479.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1371.0 ms  ✓ FastBroadcast
  26616.4 ms  ✓ StaticArrays
   2614.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2562.6 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3075.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3078.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3084.3 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3086.9 ms  ✓ Adapt → AdaptStaticArraysExt
   3086.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3275.9 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3381.7 ms  ✓ Accessors → AccessorsStaticArraysExt
   9090.1 ms  ✓ ForwardDiff
   4379.1 ms  ✓ ArnoldiMethod
  19108.0 ms  ✓ Krylov
   1894.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   1912.1 ms  ✓ PreallocationTools
   2294.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2289.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2386.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2398.8 ms  ✓ NLSolversBase
   5083.2 ms  ✓ LineSearches
  45222.5 ms  ✓ ArrayLayouts
  19315.2 ms  ✓ VectorizationBase
  52526.6 ms  ✓ MLStyle
   1315.2 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   8904.9 ms  ✓ Graphs
    965.0 ms  ✓ SLEEFPirates
    758.1 ms  ✓ VertexSafeGraphs
   1789.0 ms  ✓ LazyArrays
    975.5 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   1713.2 ms  ✓ SparseDiffTools
    981.0 ms  ✓ SparseDiffTools → SparseDiffToolsPolyesterExt
   4151.0 ms  ✓ Expronicon
   7622.9 ms  ✓ SciMLBase
    802.6 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   2887.7 ms  ✓ SciMLJacobianOperators
   9293.3 ms  ✓ DiffEqBase
  20628.6 ms  ✓ LoopVectorization
   7794.8 ms  ✓ LineSearch
   1813.2 ms  ✓ LoopVectorization → SpecialFunctionsExt
   1919.7 ms  ✓ TriangularSolve
   2203.5 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   2297.4 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2120.8 ms  ✓ LoopVectorization → ForwardDiffExt
   1422.0 ms  ✓ LineSearch → LineSearchLineSearchesExt
  10323.5 ms  ✓ NonlinearSolveBase
   5118.2 ms  ✓ OrdinaryDiffEqCore
   1969.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   2199.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2313.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   2322.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   2529.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1767.7 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   9299.8 ms  ✓ OrdinaryDiffEqFunctionMap
  11187.5 ms  ✓ OrdinaryDiffEqPRK
  11708.4 ms  ✓ OrdinaryDiffEqSymplecticRK
  12995.2 ms  ✓ OrdinaryDiffEqExplicitRK
  16073.9 ms  ✓ BracketingNonlinearSolve
  13397.0 ms  ✓ OrdinaryDiffEqFeagin
  13599.1 ms  ✓ OrdinaryDiffEqRKN
  14294.8 ms  ✓ OrdinaryDiffEqStabilizedRK
  14805.4 ms  ✓ OrdinaryDiffEqHighOrderRK
  17014.7 ms  ✓ OrdinaryDiffEqSSPRK
   6403.2 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
  20592.0 ms  ✓ OrdinaryDiffEqLowOrderRK
  25654.5 ms  ✓ RecursiveFactorization
  12417.2 ms  ✓ OrdinaryDiffEqQPRK
  14715.3 ms  ✓ OrdinaryDiffEqLowStorageRK
   5725.8 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  27012.5 ms  ✓ OrdinaryDiffEqTsit5
  28369.8 ms  ✓ NonlinearSolveSpectralMethods
  78034.3 ms  ✓ ExponentialUtilities
   1488.0 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   2629.4 ms  ✓ OrdinaryDiffEqNordsieck
   1515.2 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  14803.2 ms  ✓ SimpleNonlinearSolve
   1040.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   1071.3 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
  32965.6 ms  ✓ LinearSolve
   2502.1 ms  ✓ LinearSolve → LinearSolveRecursiveArrayToolsExt
   2533.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   2535.9 ms  ✓ LinearSolve → LinearSolveEnzymeExt
  57037.3 ms  ✓ OrdinaryDiffEqVerner
   1642.1 ms  ✓ OrdinaryDiffEqLinear
   3120.9 ms  ✓ OrdinaryDiffEqDifferentiation
   4911.4 ms  ✓ OrdinaryDiffEqExtrapolation
  10581.1 ms  ✓ NonlinearSolveQuasiNewton
   2537.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  17224.1 ms  ✓ NonlinearSolveFirstOrder
  17264.7 ms  ✓ OrdinaryDiffEqRosenbrock
   5289.3 ms  ? NonlinearSolve
   4402.5 ms  ? OrdinaryDiffEqNonlinearSolve
   6848.1 ms  ? OrdinaryDiffEqFIRK
  11236.1 ms  ? OrdinaryDiffEqStabilizedIRK
  15610.9 ms  ? OrdinaryDiffEqPDIRK
  19960.5 ms  ? OrdinaryDiffEqSDIRK
   3603.8 ms  ✓ OrdinaryDiffEqExponentialRK
  25809.4 ms  ? OrdinaryDiffEqIMEXMultistep
  10279.1 ms  ? OrdinaryDiffEqBDF
   9392.3 ms  ? OrdinaryDiffEqDefault
   6505.8 ms  ? OrdinaryDiffEq
  224 dependencies successfully precompiled in 214 seconds. 23 already precompiled.
  10 dependencies failed but may be precompilable after restarting julia
  10 dependencies had output during precompilation:
┌ OrdinaryDiffEqIMEXMultistep
│  WARNING: Method definition __solve(Union{SciMLBase.NonlinearLeastSquaresProblem{var"#s17", iip, var"#s16", F, K} where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip, SciMLBase.NonlinearProblem{var"#s17", iip, var"#s16", F, K, PT} where PT where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip}, Nothing, Any...) in module NonlinearSolveBaseForwardDiffExt at /workdir/depot/packages/NonlinearSolveBase/Kek5u/ext/NonlinearSolveBaseForwardDiffExt.jl:124 overwritten in module NonlinearSolve at /workdir/depot/packages/NonlinearSolve/GHHXX/src/forward_diff.jl:14.
│  ERROR: Method overwriting is not permitted during Module precompilation. Use `__precompile__(false)` to opt-out of precompilation.
└  
┌ OrdinaryDiffEqDefault
│  WARNING: Method definition __solve(Union{SciMLBase.NonlinearLeastSquaresProblem{var"#s17", iip, var"#s16", F, K} where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip, SciMLBase.NonlinearProblem{var"#s17", iip, var"#s16", F, K, PT} where PT where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip}, Nothing, Any...) in module NonlinearSolveBaseForwardDiffExt at /workdir/depot/packages/NonlinearSolveBase/Kek5u/ext/NonlinearSolveBaseForwardDiffExt.jl:124 overwritten in module NonlinearSolve at /workdir/depot/packages/NonlinearSolve/GHHXX/src/forward_diff.jl:14.
│  ERROR: Method overwriting is not permitted during Module precompilation. Use `__precompile__(false)` to opt-out of precompilation.
└  
┌ OrdinaryDiffEqPDIRK
│  WARNING: Method definition __solve(Union{SciMLBase.NonlinearLeastSquaresProblem{var"#s17", iip, var"#s16", F, K} where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip, SciMLBase.NonlinearProblem{var"#s17", iip, var"#s16", F, K, PT} where PT where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip}, Nothing, Any...) in module NonlinearSolveBaseForwardDiffExt at /workdir/depot/packages/NonlinearSolveBase/Kek5u/ext/NonlinearSolveBaseForwardDiffExt.jl:124 overwritten in module NonlinearSolve at /workdir/depot/packages/NonlinearSolve/GHHXX/src/forward_diff.jl:14.
│  ERROR: Method overwriting is not permitted during Module precompilation. Use `__precompile__(false)` to opt-out of precompilation.
└  
┌ OrdinaryDiffEqBDF
│  WARNING: Method definition __solve(Union{SciMLBase.NonlinearLeastSquaresProblem{var"#s17", iip, var"#s16", F, K} where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip, SciMLBase.NonlinearProblem{var"#s17", iip, var"#s16", F, K, PT} where PT where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip}, Nothing, Any...) in module NonlinearSolveBaseForwardDiffExt at /workdir/depot/packages/NonlinearSolveBase/Kek5u/ext/NonlinearSolveBaseForwardDiffExt.jl:124 overwritten in module NonlinearSolve at /workdir/depot/packages/NonlinearSolve/GHHXX/src/forward_diff.jl:14.
│  ERROR: Method overwriting is not permitted during Module precompilation. Use `__precompile__(false)` to opt-out of precompilation.
└  
┌ OrdinaryDiffEqNonlinearSolve
│  WARNING: Method definition __solve(Union{SciMLBase.NonlinearLeastSquaresProblem{var"#s17", iip, var"#s16", F, K} where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip, SciMLBase.NonlinearProblem{var"#s17", iip, var"#s16", F, K, PT} where PT where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip}, Nothing, Any...) in module NonlinearSolveBaseForwardDiffExt at /workdir/depot/packages/NonlinearSolveBase/Kek5u/ext/NonlinearSolveBaseForwardDiffExt.jl:124 overwritten in module NonlinearSolve at /workdir/depot/packages/NonlinearSolve/GHHXX/src/forward_diff.jl:14.
│  ERROR: Method overwriting is not permitted during Module precompilation. Use `__precompile__(false)` to opt-out of precompilation.
└  
┌ OrdinaryDiffEqStabilizedIRK
│  WARNING: Method definition __solve(Union{SciMLBase.NonlinearLeastSquaresProblem{var"#s17", iip, var"#s16", F, K} where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip, SciMLBase.NonlinearProblem{var"#s17", iip, var"#s16", F, K, PT} where PT where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip}, Nothing, Any...) in module NonlinearSolveBaseForwardDiffExt at /workdir/depot/packages/NonlinearSolveBase/Kek5u/ext/NonlinearSolveBaseForwardDiffExt.jl:124 overwritten in module NonlinearSolve at /workdir/depot/packages/NonlinearSolve/GHHXX/src/forward_diff.jl:14.
│  ERROR: Method overwriting is not permitted during Module precompilation. Use `__precompile__(false)` to opt-out of precompilation.
└  
┌ OrdinaryDiffEq
│  WARNING: Method definition __solve(Union{SciMLBase.NonlinearLeastSquaresProblem{var"#s17", iip, var"#s16", F, K} where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip, SciMLBase.NonlinearProblem{var"#s17", iip, var"#s16", F, K, PT} where PT where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip}, Nothing, Any...) in module NonlinearSolveBaseForwardDiffExt at /workdir/depot/packages/NonlinearSolveBase/Kek5u/ext/NonlinearSolveBaseForwardDiffExt.jl:124 overwritten in module NonlinearSolve at /workdir/depot/packages/NonlinearSolve/GHHXX/src/forward_diff.jl:14.
│  ERROR: Method overwriting is not permitted during Module precompilation. Use `__precompile__(false)` to opt-out of precompilation.
└  
┌ OrdinaryDiffEqFIRK
│  WARNING: Method definition __solve(Union{SciMLBase.NonlinearLeastSquaresProblem{var"#s17", iip, var"#s16", F, K} where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip, SciMLBase.NonlinearProblem{var"#s17", iip, var"#s16", F, K, PT} where PT where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip}, Nothing, Any...) in module NonlinearSolveBaseForwardDiffExt at /workdir/depot/packages/NonlinearSolveBase/Kek5u/ext/NonlinearSolveBaseForwardDiffExt.jl:124 overwritten in module NonlinearSolve at /workdir/depot/packages/NonlinearSolve/GHHXX/src/forward_diff.jl:14.
│  ERROR: Method overwriting is not permitted during Module precompilation. Use `__precompile__(false)` to opt-out of precompilation.
└  
┌ NonlinearSolve
│  WARNING: Method definition __solve(Union{SciMLBase.NonlinearLeastSquaresProblem{var"#s17", iip, var"#s16", F, K} where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip, SciMLBase.NonlinearProblem{var"#s17", iip, var"#s16", F, K, PT} where PT where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip}, Nothing, Any...) in module NonlinearSolveBaseForwardDiffExt at /workdir/depot/packages/NonlinearSolveBase/Kek5u/ext/NonlinearSolveBaseForwardDiffExt.jl:124 overwritten in module NonlinearSolve at /workdir/depot/packages/NonlinearSolve/GHHXX/src/forward_diff.jl:14.
│  ERROR: Method overwriting is not permitted during Module precompilation. Use `__precompile__(false)` to opt-out of precompilation.
└  
┌ OrdinaryDiffEqSDIRK
│  WARNING: Method definition __solve(Union{SciMLBase.NonlinearLeastSquaresProblem{var"#s17", iip, var"#s16", F, K} where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip, SciMLBase.NonlinearProblem{var"#s17", iip, var"#s16", F, K, PT} where PT where K where F where var"#s16"<:(Union{var"#s14", var"#s13"} where var"#s13"<:(AbstractArray{var"#s12", N} where N where var"#s12"<:ForwardDiff.Dual{T, V, P}) where var"#s14"<:ForwardDiff.Dual{T, V, P}) where var"#s17"<:(Union{Number, var"#s15"} where var"#s15"<:(AbstractArray{T, N} where N where T)) where P where V where T where iip}, Nothing, Any...) in module NonlinearSolveBaseForwardDiffExt at /workdir/depot/packages/NonlinearSolveBase/Kek5u/ext/NonlinearSolveBaseForwardDiffExt.jl:124 overwritten in module NonlinearSolve at /workdir/depot/packages/NonlinearSolve/GHHXX/src/forward_diff.jl:14.
│  ERROR: Method overwriting is not permitted during Module precompilation. Use `__precompile__(false)` to opt-out of precompilation.
└  
	Command being timed: "julia +1.11.2 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 776.48
	System time (seconds): 62.39
	Percent of CPU this job got: 325%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:18.08
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2030212
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 832
	Minor (reclaiming a frame) page faults: 15298049
